image,new_category
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7851/9780785137276.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8362/9780836218053.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8362/9780836218220.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751505092.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751505085.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8362/9780836221367.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8362/9780836218831.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751505108.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8362/9780836218527.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751512748.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7821/9781782111139.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8476/9781847670311.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8476/9781847670328.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8476/9781847678140.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8476/9781847670762.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8476/9781847678157.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8476/9781847670755.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8476/9781847671493.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8476/9781847671509.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7624/9780762438143.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7624/9780762446155.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8362/9780836220629.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8362/9780836220858.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3454/9780345464651.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3454/9780345480880.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3454/9780345491718.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3455/9780345525888.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3995/9780399594403.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4215/9781421550060.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5254/9780525444466.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6126/9781612629063.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6126/9781612629070.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4012/9781401235444.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9747/9781974700301.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9747/9781974700325.jpg,"01 Graphic Novels, Anime-Manga, & Comics"
